task,noise,method,budget,seed,affected
tfim,ideal,none,3000,2,False
tfim,ideal,none,3000,3,False
tfim,ideal,none,3000,4,False
tfim,ideal,none,3000,5,False
tfim,ideal,none,1500,4,False
tfim,ideal,none,1500,5,False
tfim,ideal,none,1500,6,False
tfim,ideal,none,1500,7,False
tfim,ideal,none,1500,0,False
tfim,ideal,none,1500,1,False
tfim,ideal,none,1500,2,False
tfim,ideal,none,1500,3,False
tfim,ideal,none,1500,8,False
tfim,ideal,none,1500,9,False
tfim,ideal,none,3000,0,False
tfim,ideal,none,3000,1,False
tfim,ideal,none,3000,6,False
tfim,ideal,none,3000,7,False
tfim,ideal,none,3000,8,False
tfim,ideal,none,3000,9,False
tfim,ideal,none,6000,0,False
tfim,ideal,none,6000,1,False
tfim,ideal,none,6000,2,False
tfim,ideal,none,6000,3,False
tfim,ideal,none,6000,4,False
tfim,ideal,none,6000,5,False
tfim,ideal,none,6000,6,False
tfim,ideal,none,6000,7,False
tfim,ideal,none,12000,2,False
tfim,ideal,none,12000,3,False
tfim,ideal,none,12000,4,False
tfim,ideal,none,12000,5,False
tfim,ideal,none,6000,8,False
tfim,ideal,none,6000,9,False
tfim,ideal,none,12000,0,False
tfim,ideal,none,12000,1,False
tfim,ideal,none,12000,6,False
tfim,ideal,none,12000,7,False
tfim,ideal,none,12000,8,False
tfim,ideal,none,12000,9,False
tfim,ideal,none,24000,0,False
tfim,ideal,none,24000,1,False
tfim,ideal,none,24000,2,False
tfim,ideal,none,24000,3,False
tfim,ideal,none,24000,4,False
tfim,ideal,none,24000,5,False
tfim,ideal,none,24000,6,False
tfim,ideal,none,24000,7,False
tfim,ideal,none,24000,8,False
tfim,ideal,none,24000,9,False
tfim,ideal,zne,1500,0,False
tfim,ideal,zne,1500,1,False
tfim,ideal,zne,1500,2,False
tfim,ideal,zne,1500,3,False
tfim,ideal,zne,1500,4,False
tfim,ideal,zne,1500,5,False
tfim,ideal,zne,3000,0,False
tfim,ideal,zne,3000,1,False
tfim,ideal,zne,3000,2,False
tfim,ideal,zne,3000,3,False
tfim,ideal,zne,1500,6,False
tfim,ideal,zne,1500,7,False
tfim,ideal,zne,1500,8,False
tfim,ideal,zne,1500,9,False
tfim,ideal,zne,3000,4,False
tfim,ideal,zne,3000,5,False
tfim,ideal,zne,3000,6,False
tfim,ideal,zne,3000,7,False
tfim,ideal,zne,6000,6,False
tfim,ideal,zne,6000,7,False
tfim,ideal,zne,6000,8,False
tfim,ideal,zne,6000,9,False
tfim,ideal,zne,3000,8,False
tfim,ideal,zne,3000,9,False
tfim,ideal,zne,6000,0,False
tfim,ideal,zne,6000,1,False
tfim,ideal,zne,6000,2,False
tfim,ideal,zne,6000,3,False
tfim,ideal,zne,6000,4,False
tfim,ideal,zne,6000,5,False
tfim,ideal,zne,12000,0,False
tfim,ideal,zne,12000,1,False
tfim,ideal,zne,12000,2,False
tfim,ideal,zne,12000,3,False
tfim,ideal,zne,12000,8,False
tfim,ideal,zne,12000,9,False
tfim,ideal,zne,24000,0,False
tfim,ideal,zne,24000,1,False
tfim,ideal,zne,24000,2,False
tfim,ideal,zne,24000,3,False
tfim,ideal,zne,24000,4,False
tfim,ideal,zne,24000,5,False
tfim,ideal,zne,12000,4,False
tfim,ideal,zne,12000,5,False
tfim,ideal,zne,12000,6,False
tfim,ideal,zne,12000,7,False
tfim,ideal,zne,24000,6,False
tfim,ideal,zne,24000,7,False
tfim,ideal,zne,24000,8,False
tfim,ideal,zne,24000,9,False
tfim,ideal,rem,1500,0,False
tfim,ideal,rem,1500,1,False
tfim,ideal,rem,1500,2,False
tfim,ideal,rem,1500,3,False
tfim,ideal,rem,1500,4,False
tfim,ideal,rem,1500,5,False
tfim,ideal,rem,1500,6,False
tfim,ideal,rem,1500,7,False
tfim,ideal,rem,1500,8,False
tfim,ideal,rem,1500,9,False
tfim,ideal,rem,3000,0,False
tfim,ideal,rem,3000,1,False
tfim,ideal,rem,3000,2,False
tfim,ideal,rem,3000,3,False
tfim,ideal,rem,3000,4,False
tfim,ideal,rem,3000,5,False
tfim,ideal,rem,3000,6,False
tfim,ideal,rem,3000,7,False
tfim,ideal,rem,3000,8,False
tfim,ideal,rem,3000,9,False
tfim,ideal,rem,6000,0,False
tfim,ideal,rem,6000,1,False
